title,company,location
"Järjestelmäasiantuntija, tietovarasto ja raportointi",Elenia Oy,Tampere
AI Data Engineer,Tampereen yliopisto,Tampere
Investment Analyst,Fortum,Espoo
Data Architect,Enerim Oy,Oulu ja 1 muu
Back-Office Specialist (kesätyö),Power-Deriva Oy,Helsinki
"Analyytikko, osake- ja korkosijoitukset",Finlandia Rahastoyhtiö Oy,Helsinki
Senior Test Automation Specialist,Fennoa,Helsinki ja 10 muuta
"Testiautomaatiokehittäjä Laadunvarmistukseen, LähiTapiola Kehitys ja uudistuminen",LähiTapiola,Finland
Matemaatikko Vastuuvelka- ja vakavaraisuuslaskenta -tiimiin,LähiTapiola,Espoo
Vastuullinen vakuutusmatemaatikko Vastuulliset aktuaarit -tiimiin,LähiTapiola,Espoo
"Ohjelmistokehityksen, data-analytiikan ja tekoälyn tulevia asiantuntijoita | 15 paikkaa",Saranen Consulting Oy,Turku ja 2 muuta
Data-analyytikko (Data Analyst),Maatalousyrittäjien eläkelaitos,Espoo ja 1 muu
"Kesätyöntekijä, Data Core",Bayer Oy,Turku
BI-analyytikko,WS Finance Oy,Lahti
AI Engineer - Robotics AD & Optimization,Advanced Micro Devices,Finland ja 5 muuta
Doctoral Researcher in Interactive Multiobjective Optimization for Sustainable Industrial Energy Systems,Jyväskylän yliopisto,Jyväskylä
"Tietojärjestelmäsuunnittelija, Tekoälyinfrastruktuuri",Oulun yliopisto,Oulu
Data Scientist,Enersense,Pori ja 2 muuta
Cloud & Datacenter Network Engineer,DNA,Helsinki
Electronics Designer Trainee,Vaisala Oyj,Helsinki
"Haussa myyjiä Helsinkiin, Tampereelle ja Turkuun",Sector Alarm,Helsinki ja 2 muuta
Liikkuva asiakashankkija,Aito Talotekniikka Oy,Uusimaa ja 6 muuta
Hitsaajia kunnossapitoon Pieksämäelle,VR Fleetcare / Eezy Oyj,Mikkeli ja 3 muuta
Hitsaajia,Anstar Oy,Lahti
Myyntineuvottelijoita kesätöihin,Sanoma Media Finland Oy,Vantaa ja 1 muu
"Turvallisuusalan kesätyöpaikat, pääkaupunkiseutu",Palmia Oy,Helsinki ja 2 muuta
Kotihoidon yrittäjäksi Alinaan,Alina Hoivatiimi Oy,Helsinki ja 42 muuta
